id,x,y,label,color,size,center_x,center_y,FSTcomments
0,2228,935,V1,red,5,0.00,0.35,testingCitation1
1,2200,945,V2, red,5,-0.025,0.80,FSTcomments
3,2170,955,V3, red,5,-0.025,0.80,FSTcomments
4,2200,792,V3A/B, red,5,-0.025,0.80,FSTcomments
5,2100,580,V7, red,5,-0.025,0.80,FSTcomments
6,2114,1040,V4, red,5,-0.025,0.80,FSTcomments
7,1930,1040,V4t,pink,5,-0.025,0.70,FSTcomments
8,1930,900,MT,pink,5,0.025,0.70,FSTcomments
9,1845,946,MST, #B58863,5,-0.025,0.80,FSTcomments
10,1830,1040,FST, pink,5,-0.025,0.80,FSTcomments
11,2020,968,LO1, pink,5,-0.025,0.80,FSTcomments
12,1975,1070,LO2, pink,5,-0.025,0.80,FSTcomments
13,2000,895,LO3, pink,5,-0.025,0.80,FSTcomments
14,1945,1140,PIT, green,5,-0.025,0.80,FSTcomments
15,1845,1800,V8, green,5,-0.025,0.80,FSTcomments
16,1845,2000,VMV, green,5,-0.025,0.80,FSTcomments
17,1610,1900,VVC, green,5,-0.025,0.80,FSTcomments
18,1756,1130,PH, green,5,-0.025,0.80,FSTcomments
19,1675,1058,PHT, green,5,-0.025,0.80,FSTcomments
20,1610,1765,FFC, green,5,-0.025,0.80,FSTcomments
21,1362,1010,STSp, green,5,-0.025,0.80,FSTcomments
22,1491,1123,TE1p, green,5,-0.025,0.80,FSTcomments
23,1589,1300,TE2p, green,5,-0.025,0.80,FSTcomments
24,1245,1200,TE1m, green,5,-0.025,0.80,FSTcomments
25,950,1230,STSa, green,5,-0.025,0.80,FSTcomments
26,1000,1310,TE1a, green,5,-0.025,0.80,FSTcomments
27,1030,1390,TE2a, green,5,-0.025,0.80,FSTcomments
28,1188,1631,TF, green,5,-0.025,0.80,FSTcomments
29,777,1464,TG, green,5,-0.025,0.80,FSTcomments
30,585,1095,insula, green,5,-0.025,0.80,FSTcomments
31,1135,931,aud, green,5,-0.025,0.80,FSTcomments
32,1500,860,TPOJ1, #B58863,5,-0.025,0.80,FSTcomments
33,1650,870,TPOJ2, #B58863,5,-0.025,0.80,FSTcomments
34,1790,790,TPOJ3, #B58863,5,-0.025,0.80,FSTcomments
35,1635,430,PFm, #B58863,5,-0.025,0.80,FSTcomments
36,1090,660,PFop, #B58863,5,-0.025,0.80,FSTcomments
37,950,700,op, #B58863,5,-0.025,0.80,FSTcomments
38,1930,300,IPS0/1, #B58863,5,-0.025,0.80,FSTcomments
39,1720,200,LIP, #B58863,5,-0.025,0.80,FSTcomments
40,1500,230,AIP, #B58863,5,-0.025,0.80,FSTcomments
41,1670,110,VIP, #B58863,5,-0.025,0.80,FSTcomments
42,1820,200,MIP, #B58863,5,-0.025,0.80,FSTcomments
43,1270,240,BA1/2, #B58863,5,-0.025,0.80,FSTcomments
44,1120,260,3a/3b, #B58863,5,-0.025,0.80,FSTcomments
45,950,190,M1, yellow,5,-0.025,0.80,FSTcomments
46,795,280,55b, yellow,5,-0.025,0.80,FSTcomments
47,795,190,FEF, yellow,5,-0.025,0.80,FSTcomments
48,795,60,SEF, yellow,5,-0.025,0.80,FSTcomments
49,675,90,PMd, yellow,5,-0.025,0.80,FSTcomments
50,772,650,PMv, yellow,5,-0.025,0.80,FSTcomments
51,545,820,44, yellow,5,-0.025,0.80,FSTcomments
52,220,650,46, yellow,5,-0.025,0.80,FSTcomments
53,510,550,8, yellow,5,-0.025,0.80,FSTcomments
54,2450,430,V6,gray,5,0.06,0.9,FSTcomments
55,2700,130,7,gray,5,0.06,0.9,FSTcomments
56,3050,330,BA23,gray,5,0.06,0.9,FSTcomments
57,2850,330,BA31,gray,5,0.06,0.9,FSTcomments
58,3050,130,precuneus,gray,5,0.06,0.9,FSTcomments
59,2950,530,RSC,gray,5,0.06,0.9,FSTcomments
60,650,-900,mPFC,gray,5,0.06,0.9,FSTcomments
61,795,-900,PreSMA,gray,5,0.06,0.9,FSTcomment