Main,Affiliate,wake_state,study_type,bihemispheric_effects_on_main,1_main_to_affiliate_projection,1_main_to_affiliate_projection_strength,1_main_to_affiliate_ref,2_affiliate_to_main_projection,2_affiliate_to_main_projection_strength,2_affiliate_to_main_ref,hierarchichy_level_rel_to_main,hierarchy_evidence,hierarchichal_ref,ROI_label_consistent,Other comments
FST,V1,anesthetized,DTI tractography,NR,strong,,Rua25,strong,,,lower,meta-analysis constraints,Fel91,Yes,Indirect measure
FST,V1,anesthetized,tracer,NR,strong,retrograde from V1 injections indicating projections to V1 but no layer data reported,Mark14,,,,lower,meta-analysis constraints,Fel91,Yes,
FST,V1,anesthetized,tracer,NR,,,,weak,retrograde tracer in infragranular only (V/VI) suggesting feedbqck to FST,Bar00,lower,laminar and meta-analysis constraints,Bar00,Yes,
FST,V1,anesthetized,tracer,NF,absent,,Bou90,absent,,Bou90,lower,meta-analysis constraints,Fel91,Yes,
FST,V2,anesthetized,DTI tractography,NR,moderate,,Rua25,moderate,,,lower,meta-analysis constraints,Fel91,Yes,Indirect measure
FST,V2,anesthetized,tracer,NR,moderate,retrograde from V2 injections indicating projections to V2 but no layer data reported,Mark14,,,,lower,meta-analysis constraints,Fel91,Yes,
FST,V2,anesthetized,tracer,NF,absent,,Bou90,absent,Weak and inconsistent results but one light signal for retro tracer in FST lights up V2 and end in supragranular layers (negligible) suggesting V2 might be feeding forward to FST,Bou90,lower,meta-analysis constraints,Fel91,Yes,
FST,V3,anesthetized,DTI tractography,NR,strong,,Rua25,strong,,,lower,meta-analysis constraints,Fel91,Yes,Indirect measure
FST,V3,anesthetized,tracer,NF,weak,weak anterograde signals from FST to V3d that ends avoiding layer 4 indicating feedback,Bou90,tentative,Weak and inconsistent retrograde label in V3d upon FST injection to supragranular layers indicating possible feedback to V3d,Bou90,lower,laminar termination,Bou90,No- V3d,
FST,V3A,anesthetized,DTI tractography,NR,strong,,Rua25,strong,,,lower,meta-analysis constraints,Fel91,Yes,Indirect measure
FST,V3A,anesthetized,tracer,antero,weak,weak and inconsistent anterograde signals from FST to V3A that ends avoiding layer 4 indicating feedback,Bou90,weak,Weak retrograde found in V3A supragrandular layers supporting V3A is feedforward signals to FST ,Bou90,lower,laminar termination,Bou90,Yes,
FST,V4,anesthetized,DTI tractography,NR,strong,,Rua25,strong,,,lower,meta-analysis constraints,Fel91,Yes,Indirect measure
FST,V4,anesthetized,tracer,NR,strong,retrograde from V4 injections indicating projections to V4 but no layer data reported,Mark14,,,,lower,meta-analysis constraints,Fel91,Yes,
FST,V4,anesthetized,tracer,NR,present,Feedback projections to V4 based on retrograde tracers injected into V4,Fel97,,,,lower,laminar and meta-analysis constraints,Fel91 and Fel97,Yes,
FST,V4,anesthetized,tracer,NR,,,,moderate,retrograde tracer mainly in infragranular  (V/VI) layers mainly predominantly feedback from FST but also some supragranular (II and III layer neurons),Bar00,lower,laminar and meta-analysis constraints,Bar00,Yes,
FST,V4,anesthetized,tracer,,present,Strong,Ung08,present,Strong,Ung08,lower,laminar termination,Ung08,Yes,"V4 connections with FST were dominated by central visual field representations. Within FST, the cells showed a variable distribution; however, the terminals demonstrated mainly a feedforward projection from V4, in agreement with a prior finding that V4 receives a feedback projection from FST"
FST,V4,anesthetized,tracer,NF,weak,weak anterograde signal to V4 that temrinates avoiding layer 4 indicative of feedback,Bou90,moderate,Moderate retrograde signal stemming from supragranular layers of V4 likely as feedforward signals to FST,Bou90,lower,laminar termination,Bou90,Yes,
FST,VOT,anesthetized,tracer,NR,strong,retrograde from TEO injections indicating projections to TEO but no layer data reported,Mark14,,,,lower,meta-analysis constraints,Fel91,No- TEO,
FST,V4t,anesthetized,tracer,NF,weak,weak anterograde signal to V4t that temrinates avoiding layer 4 indicative of feedback,Bou90,moderate,moderate retrograde signal stemming from supra-ganular layers in V4t supporting this area forwards signals to FST,Bou90,lower,laminar termination,Bou90,Yes,
FST,MT,anesthetized,tracer,NR,strong,retrograde from MT injections indicating projections to MT but no layer data reported,Mark14,,,,lower,meta-analysis constraints,Fel91,Yes,
FST,MT,anesthetized,tracer,antero and retro,strong,strong anterograde signal to MT avoiding layer 4 supporting feedback,Bou90,strong,strong retrograde signals linked to supragranular and infragranular layers in MT suggesting MT forwards signals,Bou90,lower,laminar termination,Bou90,Yes,
FST,MSTl,anesthetized,tracer,antero and retro,moderate,moderate anterograde tracer that either avoids layer 4 (suggesting feedback) or intermixed (suggesting lateral),Bou90,moderate,moderate retrograde tracer from supra- and infra- granular layers of MST,Bou90,equal,weak evidence in laminar termination but found in meta-analysis constraints,Ung08 and Fel91,no- MST,Note that this is duplicated for MSTd bc they did not classify subdivisions for tracer injection
FST,PITv,anesthetized,tracer,NR,present,retrograde tracer injected into PITv found in FST but layer not reported,Fel97,,,,equal,meta-analysis constraints,Fel91,Yes,
FST,PITv,anesthetized,tracer,NF,moderate,moderate anterograde tracer that is either homogeneously distributed or targets layer 4,Bou90,strong,strong retrograde signal linked to mix of infra-granular and supragranular layers,Bou90,equal,laminar termination and meta-analysis constraints,Bou90 and Fel91,no- TEO,This row is duplicated to apply to PITd since the activity is not restricted to ventral
FST,PITd,anesthetized,DTI tractography,NR,strong,,Rua25,strong,,,unknown,na,na,No- STS,Indirect measure; not this row is duplicated for PITd CITd AITd
FST,PITd,anesthetized,tracer,NR,moderate,retrograde from TEpd injections indicating projections to TEpd but no layer data reported,Mark14,,,,equal,meta-analysis constraints,Fel91,no- Tepd,Note this row is duplicated for CITd
FST,PITd,anesthetized,tracer,NF,moderate,moderate anterograde tracer that is either homogeneously distributed or targets layer 4,Bou90,strong,strong retrograde signal linked to mix of infra-granular and supragranular layers,Bou90,equal,laminar termination and meta-analysis constraints,Bou90 and Fel91,no- TEO,This row is duplicated to apply to PITv since the activity is not restricted to dorsal
FST,CITd,anesthetized,DTI tractography,NR,strong,,Rua25,strong,,,unknown,na,na,No- STS,Indirect measure; not this row is duplicated for PITd CITd AITd
FST,CITd,anesthetized,tracer,NR,moderate,retrograde from TEpd injections indicating projections to TEpd but no layer data reported,Mark14,,,,higher,meta-analysis constraints,Fel91,no- Tepd,Note this row is duplicated for PITd
FST,CITd,anesthetized,tracer,antero,moderate,moderate anterograde tracer in Ipa Tea and TEm that target layer 4 suggesting feedforward signal to those areas,Bou90,moderate,moderate retrograde tracer to Ipa TEa and Tem targeting infragranular layers and some mixed suggesting those areas are somewhat feedback to FST,Bou90,higher,laminar termination,Bou90,no- Ipa TEa and Tem,Note these areas are defined as long narrow strips but activation shown is restricted to the first half to two thirds of the region so considering this CITd and not AITd
FST,CITv,anesthetized,DTI tractography,NR,strong,,Rua25,strong,,,unknown,na,na,No- TE,Indirect measure; not this row is duplicated for CITv and AITv
FST,CITv,anesthetized,tracer,NF,absent,,Bou90,moderate,moderate retrograde tracer ending in infragranular layers suggesting possible feedback to FST,Bou90,higher,laminar termination and meta-analysis constraints,Bou90 and Fel91,no- TE,
FST,AITd,anesthetized,DTI tractography,NR,strong,,Rua25,strong,,,unknown,na,na,No- STS,Indirect measure; not this row is duplicated for PITd CITd AITd
FST,AITd,anesthetized,tracer,,present,,Bou90,present,,Bou90,,,,No- TEa,
FST,AITv,anesthetized,DTI tractography,NR,strong,,Rua25,strong,,,unknown,na,na,No- TE,Indirect measure; not this row is duplicated for CITv and AITv
FST,AITv,,,,,,,,,,,,,,
FST,STPp,anesthetized,tracer,NR,moderate,strong/absent retrograde from STPc/STPi injections indicating projections to these areas but no layer data reported,Mark14,,,,higher,meta-analysis constraints,Fel91,No- STPc and STPi,
FST,STPp,anesthetized,tracer,antero and retro,moderate,moderate anterograde tracer that contains heavy cells that target layer 4 (suggesting FST is feeding forward signal) and few measures that avoid layer 4,Bou90,moderate,moderate retrograde tracer that targets infragranular layers suggesting feedback to FST,Bou90,higher,laminar termination,Bou90,No- TPO and Pga,In Bou90 TTAa TPO and PGa are all in STP generally but TAa has little to no signal. Rough average of TPO and PGa implies moderate connections. Note that STPp logged here instead of STPa because graphics illustrate only the first half to two thirds of STP showing signal (from posterior to anterior)
FST,STPa,anesthetized,tracer,NR,moderate,retrograde from STPr injections indicating projections to STPr but no layer data reported,Mark14,,,,higher,meta-analysis constraints,Fel91,No- STPr,
FST,STPa,anesthetized,tracer,NF,unknown,,Bou90,unknown,,Bou90,higher,meta-analysis constraints,Fel91,,
FST,STGp,anesthetized,DTI tractography,NR,weak,,Rua25,weak,,,unknown,na,na,No- A1,Indirect measure
FST,STGa,anesthetized,tracer,NR,moderate,retrograde from PBr injections indicating projections to PBr but no layer data reported,Mark14,,,,unknown,unknown,na,No- PBr,
FST,insula,anesthetized,DTI tractography,NR,moderate,,Rua25,moderate,,,unknown,na,na,Yes,Indirect measure
FST,MSTd,anesthetized,tracer,antero and retro,moderate,moderate anterograde tracer that either avoids layer 4 (suggesting feedback) or intermixed (suggesting lateral),Bou90,moderate,moderate retrograde tracer from supra- and infra- granular layers of MST,Bou90,equal,weak evidence in laminar termination but found in meta-analysis constraints,Ung08 and Fel91,no- MST,Note that this is duplicated for MSTl bc they did not classify subdivisions for tracer injection
FST,DP,anesthetized,tracer,NR,strong,retrograde from DP injections indicating projections to DP but no layer data reported,Mark14,,,,lower,meta-analysis constraints,Fel91,Yes,
FST,DP,anesthetized,tracer,NF,absent,,Bou90,absent,,Bou90,lower,meta-analysis constraints,Fel91,Yes,
FST,DP,,tracer,NR,,,,tentative,concentrated in FST layer 4 after large injection of anterograde tracer in DP,And90,higher,laminar termination,And90,Yes,Laminar data consistent with hierarchy in Fel91
FST,7a,anesthetized,tracer,NR,strong,retrograde from 7a injections indicating projections to 7a but no layer data reported,Mark14,,,,higher,meta-analysis constraints,Fel91,,
FST,7a,anesthetized,tracer,NR,,,,present,anterograde tracer terminated in layers I and IV with some variability,Sel96,higher,laminar termination and meta-analysis constraints,Sel96 and Fel91,No- dorsal prearcuate cortex,Note that this is duplicated for 7a and LIP ad VIP (possibly would contain PO and MIP but more liberal definition)
FST,7a,,tracer,NR,present,extensive retrograde tracer in FST for 7a injection,And90,present,extensive anterograde tracer in FST for 7a injection,And90,higher,meta-analysis constraints,Fel91,Yes,And90 had no comments on 7a to FST regarding laminar
FST,7a,anesthetized,tracer,NF,absent,,Bou90,weak,moderate evidence for retrograde signal in PP that is intermixed in layers,Bou90,equal?,weak evidence in laminar termination,Bou90,No- PP,
FST,7b,anesthetized,tracer,NR,absent,absent retrograde from 7b injections indicating no projections to 7b,Mark14,,,,higher,meta-analysis constraints,Fel91,Yes,
FST,7b,anesthetized,tracer,NF,absent,,Bou90,absent,weak and inconsistent retrograde results that end in infragranular layers of IPG,Bou90,higher,meta-analysis constraints,Fel91,No- IPG,
FST,PF,anesthetized,DTI tractography,NR,weak,,Rua25,weak,,,unknown,na,na,No- PFm and PFop,Indirect measure
FST,AIP,anesthetized,DTI tractography,NR,weak,,Rua25,weak,,,unknown,na,na,Yes,Indirect measure
FST,LIP,anesthetized,DTI tractography,NR,weak,,Rua25,weak,,,unknown,na,na,Yes,Indirect measure
FST,LIP,anesthetized,tracer,NR,,,,,anterograde tracer terminated in layers I and IV with some variability,Sel96,higher,laminar termination and meta-analysis constraints,Sel96 and Fel91 (but see Barrone 2000),No- dorsal prearcuate cortex,Note that this is duplicated for 7a and LIP ad VIP (possibly would contain PO and MIP but more liberal definition)
FST,LIP,anesthetized,tracer,NF,weak,weak anterograde tracer found in homogenous layers,Bou90,moderate,moderate and inconsistent retrograde tracer found in infra and supragranular layers indicating potential feedback to VIP,Bou90,equal,meta-analysis constraints,Fel91 (but see Barrone 2000),,
FST,VIP,anesthetized,DTI tractography,NR,weak,,Rua25,weak,,,unknown,na,na,Yes,Indirect measure
FST,VIP,anesthetized,tracer,NR,,,,,anterograde tracer terminated in layers I and IV with some variability,Sel96,higher,laminar termination and meta-analysis constraints,Sel96 and Fel91,No- dorsal prearcuate cortex,Note that this is duplicated for 7a and LIP ad VIP (possibly would contain PO and MIP but more liberal definition)
FST,VIP,anesthetized,tracer,antero,moderate,moderate anterograde tracer targeting either homogenous layers or layer 4,Bou90,moderate,moderate retrograde label found in infra and supragranular layers,Bou90,equal,laminar termination and meta-analysis constraints,Bou90 and Fel91,,
FST,MIP,,,,,,,,,,,,,,
FST,S1,anesthetized,DTI tractography,NR,weak,,Rua25,weak,,,unknown,na,na,No- BA 3a/b and BA 1/2,Indirect measure
FST,S1,anesthetized,tracer,NR,absent,absent retrograde from area 2 injections indicating no projections to 2,Mark14,,,,unknown,unknown,na,No- 2,
FST,5,anesthetized,tracer,NR,absent,absent retrograde from area 5 injections indicating no projections to 5,Mark14,,,,unknown,unknown,na,Yes,
FST,FEF,anesthetized,tracer,NR,moderate,retrograde from 8l injections indicating projections to 8l but no layer data reported,Mark14,,,,higher,meta-analysis constraints,Fel91,No- 8l,
FST,FEF,anesthetized,tracer,NF,moderate,moderate anterograde tracer that is either avoiding layer 4 and targeting it - in discussion extensive forward projections and unlike MST includes 8a and 45,Bou90,weak,weak anterograde tracer that targets infragranular layers (backwards projections are extensive),Bou90,higher,laminar termination and meta-analysis constraints,Bou90 and Fel91,,Note that the projections are more extensive in FST than MST despite weak and moderate tracer levels - they include 8a and 45
FST,FEF,anesthetized,tracer,NF,,,,present,anterograte tracer from FEF to FST layers I and VI,Sel96,higher,laminar termination and meta-analysis constraints,Sel96 and Fel91,No- dorsal prearcuate cortex,
FST,SEF,anesthetized,DTI tractography,NR,absent,,Rua25,absent,,,unknown,na,na,No- BA 8,Indirect measure
FST,SEF,anesthetized,tracer,NR,moderate,moderate retrograde from area 8m injections indicating projections to 8m,Mark14,,,,unknown,unknown,na,No- 8m,
FST,DLPFC,anesthetized,tracer,NR,weak,absent/weak/moderate retrograde from areas 46d/46v/9/10/8B injections indicating limited projections to these areas,Mark14,,,,higher,meta-analysis constraints,Fel91,No- 46d/46v/9/10/8B,
FST,VLPFC,anesthetized,DTI tractography,NR,weak,,Rua25,weak,,,unknown,na,na,No- BA 44,Indirect measure
FST,M1/F1,anesthetized,DTI tractography,NR,weak,,Rua25,weak,,,unknown,na,na,Yes,Indirect measure
FST,M1/F1,anesthetized,tracer,NR,absent,absent retrograde from area F1 injections indicating no projections to F1,Mark14,,,,unknown,unknown,na,Yes,
FST,PMd,anesthetized,tracer,NR,moderate,retrograde from PMd injections indicating projections to PMd but no layer data reported,Mark14,,,,unknown,unknown,na,No- F7,
FST,PMd,,,,,,,,,,,,,,
FST,PMd,anesthetized,DTI tractography,NR,weak,,Rua25,weak,,,unknown,na,na,Yes,Indirect measure
FST,PMv,anesthetized,tracer,NR,absent,absent retrograde from area F5/ProM injections indicating no projections to these areas,Mark14,,,,unknown,unknown,na,No- F5/ProM,
FST,PMv,,,,,,,,,,,,,,
FST,PMv,anesthetized,DTI tractography,NR,weak,,Rua25,weak,,,unknown,na,na,Yes,Indirect measure
FST,PO,anesthetized,tracer,NF,absent,,Bou90,absent,,Bou90,lower,meta-analysis constraints,Fel91,Yes,
FST,TG,anesthetized,DTI tractography,NR,weak,,Rua25,weak,,Rua25,unknown,na,na,Yes,Indirect measure
FST,TF,anesthetized,tracer,NF,weak,weak anterograde tracer to homogeneous layers including layer 4,Bou90,moderate,moderate retrograde tracer to supragranular or supra/infragranular layers which is possible feedback to FST or mixed,Bou90,higher,weak evidence in laminar termination but found in meta-analysis constraints,Fel91,,
FST,V6,anesthetized,DTI tractography,NR,weak,,Rua25,weak,,,unknown,na,na,Yes,Indirect measure
FST,PreSMA,anesthetized,DTI tractography,NR,absent,,Rua25,absent,,,unknown,na,na,Yes,Indirect measure
FST,RSC,anesthetized,DTI tractography,NR,moderate,,Rua25,moderate,,,unknown,na,na,Yes,Indirect measure
FST,PCCa,anesthetized,DTI tractography,NR,weak,,Rua25,weak,,,unknown,na,na,No- BA 23,Indirect measure
FST,PCCp,anesthetized,DTI tractography,NR,weak,,Rua25,weak,,,unknown,na,na,No- BA 31,Indirect measure
FST,24c,anesthetized,tracer,NR,absent,absent retrograde from area 24c injections indicating no projections to 24c,Mark14,,,,unknown,unknown,na,Yes,
FST,7m,anesthetized,tracer,NR,absent,absent retrograde from area 7m injections indicating no projections to 7m,Mark14,,,,unknown,unknown,na,Yes,
FST,thalamus,anesthetized,tracer,NR,present,anterograde to pulvinar and reticular nucleus of thalamus,Bou92,present,retrograde FST label to pulvinar,Bou92,na,na,na,No- thamalus is pulvinar and/or reticular nucleus of thalamus,Note that subcortex does not have hierarchical or laminar criteria
FST,claustrum,anesthetized,tracer,NR,present,anterograde to claustrum,Bou92,present,retrograde to claustrum,Bou92,na,na,na,Yes,Note that subcortex does not have hierarchical or laminar criteria
FST,striatum,anesthetized,tracer,NR,present,anterograde to striatum (basal ganglia) including caudate and putamen,Bou92,absent,no retrograde tracer to striatum (basal ganglia),Bou92,na,na,na,No- striatum is caudate and/or putamen,Note that subcortex does not have hierarchical or laminar criteria
FST,basalfore,anesthetized,tracer,NR,absent,no anterograde tracer to basal forebrain,Bou92,present,retrograde tracer to basal forebrain,Bou92,na,na,na,Yes,Note that subcortex does not have hierarchical or laminar criteria
FST,pretectum,anesthetized,tracer,NR,present,anterograde tracer to nucleus of optic tract (NOT) and lateral terminal nucleus (LTN) also known as acessory optic system,Bou92,absent,no retrograde tracer to nucleus of optic tract (NOT) and lateral terminal nucleus (LTN),Bou92,na,na,na,No- pretuctum is nucleus of optic tract and/or lateral terminal nucleus,Note that subcortex does not have hierarchical or laminar criteria- also note that projections to LTN are unique to FST and not present in MST
FST,SC,awake,inactivation,NR,,,,weak,inactivation of FEF affects attention related BOLD activity in FST,Bog19,na,na,na,Yes,Note that this is not a direct study of connectivity (functional connectivity)
FST,SC,awake,inactivation,NR,,,,strong,inactivation of SC affects attention related BOLD activity in FST,Bog19,na,na,na,Yes,Note that this is not a direct study of connectivity (functional connectivity)
FST,SC,awake,inactivation,NR,,,,strong,inactivation of SC affects attention related neronal spiking activity in FST,Bog21,na,na,na,Yes,Note that this is not a direct study of connectivity (functional connectivity)
FST,SC,anesthetized,tracer,NR,absent,no anterograde tracer,Bou92,absent,no retrograde tracer,Bou92,na,na,na,Yes,Note that subcortex does not have hierarchical or laminar criteria
FST,pons,anesthetized,tracer,NR,present,anterograde tracer found in pontine nuclei,Bou92,absent,no retrograde tracer found in pontine nuclei,Bou92,na,na,na,No - pons is pontine nuclei,Note that subcortex does not have hierarchical or laminar criteria
MSTl,V1,anesthetized,DTI tractography,NR,moderate,,Rua25,moderate,,Rua25,lower,meta-analysis constraints,Fel91,No- MST,indirect measure. Note same data for MSTl and MSTd
MSTl,V1,anesthetized,tracer,NR,strong,retrograde from V1 injections indicating projections to V1 but no layer data reported,Mark14,,,,lower,meta-analysis constraints,Fel91,No- MST,Note same data for MSTl and MSTd
MSTl,V1,anesthetized,tracer,NF,absent,no evidence for projections from V2 to MSTl indicates non-reciprocal relation,Bou90,weak,retrograde tracer tracks back to V1's layer 4B neurons and this layer is a special output layer in v1 to mt areas depite being in layer 4,Bou90,lower,meta-analysis constraints,Fel91,,
MSTl,V2,anesthetized,DTI tractography,NR,moderate,,Rua25,moderate,,Rua25,lower,meta-analysis constraints,Fel91,No- MST,indirect measure. Note same data for MSTl and MSTd
MSTl,V2,anesthetized,tracer,NR,moderate,retrograde from V2 injections indicating projections to V2 but no layer data reported,Mark14,,,,lower,meta-analysis constraints,Fel91,No- MST,Note same data for MSTl and MSTd
MSTl,V2,anesthetized,tracer,retro?,weak,weak anterograde tracer from MSTp to V2 is weak and terminals avoid layer 4 indicating possible feedback projections from MST to V2,Bou90,strong,strong retrograde label found in V2 supragranular layer indicating feedforward projections to MST,Bou90,lower,laminar termination,Bou90,No- MSTp,
MSTl,V3,anesthetized,DTI tractography,NR,weak,,Rua25,weak,,Rua25,lower,meta-analysis constraints,Fel91,No- MST,indirect measure. Note same data for MSTl and MSTd
MSTl,V3,anesthetized,tracer,NF,absent,,Bou90,absent,,Bou90,lower,meta-analysis constraints,Fel91,No- MSTp and V3d,
MSTl,V3A,anesthetized,DTI tractography,NR,strong,,Rua25,strong,,Rua25,lower,meta-analysis constraints,Fel91,No- MST,indirect measure. Note same data for MSTl and MSTd
MSTl,V3A,anesthetized,tracer,NF,moderate,anterograde tracer avoiding layer 4 in V3A consistent with feedback to this area,Bou90,weak,weak retrograde tracer to supra- and infra-granular layers in V3A indicating feedback to this area,Bou90,lower,laminar termination,Bou90,No- MSTp,
MSTl,DP,anesthetized,tracer,NF,absent,,Bou90,weak,weak and inconsistent retrograde tracer from MST injection landing in supragranular layer of DP,Bou90,lower,laminar termination,Bou90,No- MSTp,
MSTl,PO,anesthetized,tracer,antero,moderate,anterograde tracer avoiding layer 4 in PO consistent with feedback to this area,Bou90,moderate,moderate retrograde tracer found in infra- and supra-granular layers consistent with FF input to MST,Bou90,lower,laminar termination,Bou90,No- MSTp,
MSTl,V4,anesthetized,DTI tractography,NR,moderate,,Rua25,moderate,,Rua25,lower,meta-analysis constraints,Fel91,No- MST,indirect measure. Note same data for MSTl and MSTd
